               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11437,             0.04806,            0.028949,           0.0054981,            0.013514,          0.00092116,          0.00020871,             0.10388,            0.044442,              0.0297,             0.00015,             0.00015,             0.09865
                   1,             0.10512,            0.051093,            0.024539,           0.0019152,             0.10057,           0.0011101,          0.00027078,            0.094845,            0.044946,            0.027466,          0.00024025,          0.00024025,             0.09714
                   2,             0.10102,            0.051762,            0.020887,           0.0026206,            0.046512,           0.0013407,          0.00020793,            0.092266,            0.044274,            0.027061,          0.00015275,          0.00015275,            0.095453
