               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11708,            0.041864,            0.030437,                   0,                   0,                   0,                   0,             0.11939,            0.050619,            0.031575,                   0,                   0,                 0.1
                   1,             0.11583,            0.040002,            0.030168,                   0,                   0,                   0,                   0,             0.11982,            0.050169,            0.031643,          9.9998e-06,          9.9998e-06,             0.09991
                   2,             0.11598,            0.042641,            0.030245,                   0,                   0,                   0,                   0,             0.11978,            0.050079,            0.031644,          1.9998e-05,          1.9998e-05,             0.09982
                   3,              0.1233,            0.043465,            0.028941,                   0,                   0,                   0,                   0,             0.11969,            0.050058,            0.031623,          2.9993e-05,          2.9993e-05,             0.09973
                   4,              0.1185,            0.041225,            0.029138,                   0,                   0,                   0,                   0,              0.1196,            0.049962,            0.031578,          3.9984e-05,          3.9984e-05,             0.09964
                   5,             0.12029,            0.044931,             0.02925,                   0,                   0,                   0,                   0,             0.11955,            0.049837,             0.03155,          4.9969e-05,          4.9969e-05,             0.09955
                   6,              0.1188,            0.035744,            0.029071,                   0,                   0,                   0,                   0,             0.11961,            0.049729,            0.031567,          5.9947e-05,          5.9947e-05,             0.09946
