               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095714,              0.3405,            0.020909,                   0,                   0,                   0,                   0,             0.10204,            0.045252,            0.027246,               4e-05,               4e-05,             0.09964
                   1,            0.089369,             0.32299,            0.021278,                   0,                   0,                   0,                   0,            0.095085,            0.048497,            0.027257,           6.975e-05,           6.975e-05,             0.09917
                   2,             0.08243,             0.31978,            0.021243,                   0,                   0,                   0,                   0,            0.088825,            0.051065,            0.027266,            4.55e-05,            4.55e-05,            0.098646
