               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11437,             0.04806,            0.028949,           0.0054981,            0.013514,          0.00092116,          0.00020871,             0.10388,            0.044442,              0.0297,             0.00015,             0.00015,             0.09865
                   1,             0.10475,            0.051265,            0.024271,           0.0020042,            0.025141,          0.00038039,          6.6495e-05,            0.096156,            0.044563,            0.027272,          0.00030695,          0.00030695,            0.097207
                   2,            0.098965,             0.05242,            0.019501,           0.0095281,             0.05814,           0.0036406,          0.00071566,            0.092701,             0.04378,            0.025415,          0.00045171,          0.00045171,            0.095752
                   3,            0.095593,            0.055327,             0.01566,            0.025711,             0.18605,            0.020665,           0.0044547,            0.089618,            0.042531,            0.024887,          0.00057586,          0.00057586,            0.094276
                   4,            0.091209,            0.050479,            0.013409,             0.55872,             0.12791,            0.031097,           0.0058005,            0.090189,            0.041082,            0.024969,          0.00067238,          0.00067238,            0.092772
